"","cartaAltaRoboClustering","cartaMediaRoboClustering","cartaBaixaRoboClustering","kmeans.cluster","idMao"
"1",51,7,3,3,1
"2",20,20,3,7,2
"3",12,7,3,5,3
"4",20,3,3,4,4
"5",51,12,3,3,5
"6",20,20,3,7,6
"7",20,3,3,4,7
"8",20,7,3,4,8
"9",20,7,7,4,9
"10",7,3,3,2,10
"11",7,3,3,2,11
"12",41,20,3,6,12
"13",51,20,12,1,13
"14",41,20,7,6,14
"15",20,7,3,4,15
"16",51,20,3,6,16
"17",20,7,7,4,17
"18",20,12,7,7,18
"19",20,7,3,4,19
"20",7,7,3,5,20
"21",7,7,3,5,21
"22",51,7,3,3,22
"23",41,12,7,3,23
"24",51,20,20,1,24
"25",20,7,3,4,25
"26",20,7,3,4,26
"27",20,7,3,4,27
"28",51,51,7,6,28
"29",51,7,7,3,29
"30",51,3,3,3,30
"31",7,7,3,5,31
"32",51,20,3,6,32
"33",20,7,3,4,33
"34",20,7,3,4,35
"35",20,20,3,7,36
"36",20,3,3,4,37
"37",20,3,3,4,38
"38",20,3,3,4,39
"39",41,41,7,6,40
"40",41,7,3,3,41
"41",20,7,7,4,42
"42",7,3,3,2,43
"43",20,20,7,7,44
"44",20,7,3,4,45
"45",7,7,3,5,46
"46",12,7,7,5,47
"47",12,7,3,5,48
"48",7,3,3,2,49
"49",7,3,3,2,50
"50",7,3,3,2,51
"51",12,3,3,2,52
"52",20,12,7,7,54
"53",20,7,7,4,55
"54",7,7,3,5,56
"55",51,12,3,3,57
"56",41,20,7,6,58
"57",20,20,20,1,59
"58",20,20,3,7,60
"59",20,3,3,4,61
"60",20,7,3,4,62
"61",20,7,7,4,63
"62",7,3,3,2,64
"63",51,7,7,3,65
"64",7,7,7,5,66
"65",51,20,3,6,68
"66",51,7,3,3,69
"67",20,20,3,7,70
"68",41,7,3,3,71
"69",51,20,7,6,72
"70",20,7,7,4,73
"71",7,7,3,5,74
"72",7,7,3,5,75
"73",7,7,7,5,77
"74",3,3,3,2,78
"75",20,12,3,4,79
"76",20,7,3,4,80
"77",20,12,7,7,81
"78",20,7,3,4,82
"79",51,3,3,3,83
"80",20,3,3,4,84
"81",20,12,3,4,85
"82",7,7,3,5,86
"83",41,41,3,6,87
"84",20,7,3,4,88
"85",41,3,3,3,89
"86",51,3,3,3,90
"87",41,20,3,6,91
"88",20,7,3,4,92
"89",7,3,3,2,93
"90",41,20,7,6,95
"91",20,7,3,4,96
"92",51,3,3,3,97
"93",20,20,3,7,98
"94",20,20,3,7,99
"95",41,12,7,3,100
"96",7,7,3,5,101
"97",20,20,7,7,102
"98",20,7,7,4,103
"99",3,3,3,2,104
"100",20,7,3,4,105
"101",20,3,3,4,106
"102",20,12,3,4,107
"103",7,7,3,5,108
"104",41,12,7,3,109
"105",12,7,3,5,110
"106",20,7,7,4,111
"107",7,7,3,5,112
"108",41,7,7,3,113
"109",20,7,3,4,114
"110",41,20,3,6,115
"111",20,20,7,7,116
"112",20,7,3,4,117
"113",20,7,3,4,118
"114",51,20,3,6,119
"115",7,3,3,2,120
"116",7,3,3,2,121
"117",7,3,3,2,122
"118",20,12,7,7,123
"119",51,7,3,3,124
"120",20,20,7,7,125
"121",51,20,12,1,126
"122",12,12,3,5,127
"123",7,3,3,2,129
"124",20,7,3,4,130
"125",12,12,3,5,131
"126",3,3,3,2,132
"127",20,7,3,4,133
"128",7,7,3,5,134
"129",20,3,3,4,135
"130",20,3,3,4,136
"131",12,7,3,5,137
"132",20,3,3,4,139
"133",20,7,3,4,140
"134",7,3,3,2,141
"135",3,3,3,2,142
"136",20,20,20,1,143
"137",7,3,3,2,144
"138",12,7,3,5,146
"139",7,3,3,2,147
"140",41,7,3,3,148
"141",20,20,7,7,149
"142",7,3,3,2,150
"143",7,7,3,5,151
"144",7,7,7,5,152
"145",41,7,3,3,153
"146",20,20,7,7,154
"147",20,20,3,7,155
"148",20,3,3,4,156
"149",51,20,7,6,157
"150",20,7,7,4,159
"151",7,3,3,2,160
"152",20,7,3,4,162
"153",20,3,3,4,163
"154",20,7,3,4,164
"155",20,7,3,4,165
"156",51,51,7,6,166
"157",20,12,7,7,167
"158",20,7,3,4,168
"159",41,12,3,3,169
"160",51,3,3,3,170
"161",20,7,7,4,171
"162",7,7,3,5,172
"163",20,20,3,7,173
"164",7,3,3,2,174
"165",20,12,3,4,175
"166",20,7,3,4,176
"167",51,7,3,3,177
"168",20,20,7,7,178
"169",51,20,7,6,179
"170",12,7,3,5,180
"171",20,20,7,7,181
"172",20,20,3,7,182
"173",7,3,3,2,183
"174",7,7,3,5,184
"175",20,7,3,4,185
